Id;Data;Hora;Hour;Type;Operador;Categoria;Classe;Adults;Children;Bebies;Local Recolha;GPS Recolha;Local Entrega;GPS Entrega;Duration;Distance;Price
AT037788;06/06/2024;14:05;14;;Alfagar Rece??o;Interzone;Taxi 1 - 4 Pax;1;0;0;Alfagar;37.0903633, -8.2093686;Oura - New Town;37.0862392, -8.223698299999999;00:05;2;6,00
AT037789;06/06/2024;14:15;14;;Alto da Colina;Interzone;Taxi 1 - 4 Pax;3;0;0;Alto da Colina;37.0941384, -8.209068499999999;Oura - New Town;37.0862392, -8.223698299999999;00:05;2;6,00
AT037790;06/06/2024;14:30;14;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;2;3;0;Old Town - Albufeira;37.091608, -8.254527;Alfagar;37.0903633, -8.2093686;00:07;4;10,00
AT037056;06/06/2024;15:30;15;Partida;Alfagar Rece??o;Airport Transfer;Airport Transfer 4-8PAX;2;3;1;Alfagar;;Faro Airport;;00:35;38;0,00
AT037792;06/06/2024;15:50;15;;Alfa Tours & Transfers;Interzone;1 - 4 Pax;2;1;0;Alto da Colina;37.0941384, -8.209068499999999;Ferreiras - Esta??o Comboios;37.1286219, -8.2330623;00:15;6;15,00
AT037706;06/06/2024;16:00;16;;Alto da Colina;Parques Tem?ticos;1 - 4 Pax;2;0;1;Zoomarine-Guia;37.1274473,-8.313571399999999;Alto da Colina;37.0941384,-8.209068499999999;00:19;13;25,00
AT037793;06/06/2024;16:55;16;;Alfa Tours & Transfers;Interzone;Taxi 5 - 8 Pax;4;0;1;Oura - New Town;37.0862392,-8.223698299999999;Alto da Colina;37.0941384,-8.209068499999999;00:05;2;8,00
AT037763;06/06/2024;17:00;17;;Alfa Tours & Transfers;Parques Tem?ticos;1 - 4 Pax;2;1;1;Zoomarine-Guia;37.1274473,-8.313571399999999;Alfagar;37.0903633,-8.2093686;00:19;13;25,00
AT037794;06/06/2024;17:05;17;;Alto da Colina;Interzone;5 - 8 Pax;8;0;0;Alto da Colina;37.0941384,-8.209068499999999;Marina-Albufeira;37.0839339,-8.2708975;00:20;8;20,00
AT037796;06/06/2024;17:20;17;;Alfagar Rece??o;Interzone;Taxi 5 - 8 Pax;2;2;1;Alfagar;37.0903633, -8.2093686;Old Town - Albufeira;37.091608, -8.254527;00:07;4;10,00
